TIME,GEO,CITIZEN,SEX,AGE,UNIT,Value,Flag and Footnotes
2008,Netherlands,Total,Total,35 years or over,Person,2570,
2008,Netherlands,Total,Males,Total,Person,6445,
2008,Netherlands,Total,Males,Less than 14 years,Person,20,
2008,Netherlands,Total,Males,From 14 to 17 years,Person,165,
2008,Netherlands,Total,Males,From 18 to 34 years,Person,4050,
2008,Netherlands,Total,Males,35 years or over,Person,2210,
2008,Netherlands,Total,Females,Total,Person,1060,
2008,Netherlands,Total,Females,Less than 14 years,Person,10,
2008,Netherlands,Total,Females,From 14 to 17 years,Person,30,
2008,Netherlands,Total,Females,From 18 to 34 years,Person,655,
2008,Netherlands,Total,Females,35 years or over,Person,360,
2008,Netherlands,Total,Unknown,Total,Person,,
2008,Netherlands,Total,Unknown,Less than 14 years,Person,,
2008,Netherlands,Total,Unknown,From 14 to 17 years,Person,,
2008,Netherlands,Total,Unknown,From 18 to 34 years,Person,,
2008,Netherlands,Total,Unknown,35 years or over,Person,,
2008,Austria,Total,Total,Total,Person,14500,
2008,Austria,Total,Total,Less than 14 years,Person,1450,
2008,Austria,Total,Total,From 14 to 17 years,Person,1195,
2008,Austria,Total,Total,From 18 to 34 years,Person,8330,
2008,Austria,Total,Total,35 years or over,Person,3525,
2008,Austria,Total,Males,Total,Person,11095,
2008,Austria,Total,Males,Less than 14 years,Person,780,
2008,Austria,Total,Males,From 14 to 17 years,Person,1010,
2008,Austria,Total,Males,From 18 to 34 years,Person,6710,
2008,Austria,Total,Males,35 years or over,Person,2595,
2008,Austria,Total,Females,Total,Person,3405,
2008,Austria,Total,Females,Less than 14 years,Person,670,
2008,Austria,Total,Females,From 14 to 17 years,Person,185,
2008,Austria,Total,Females,From 18 to 34 years,Person,1625,
2008,Austria,Total,Females,35 years or over,Person,930,
2008,Austria,Total,Unknown,Total,Person,,
2008,Austria,Total,Unknown,Less than 14 years,Person,,
2008,Austria,Total,Unknown,From 14 to 17 years,Person,,
2008,Austria,Total,Unknown,From 18 to 34 years,Person,,
2008,Austria,Total,Unknown,35 years or over,Person,,
2008,Poland,Total,Total,Total,Person,5430,
2008,Poland,Total,Total,Less than 14 years,Person,110,
2008,Poland,Total,Total,From 14 to 17 years,Person,35,
2008,Poland,Total,Total,From 18 to 34 years,Person,2710,
2008,Poland,Total,Total,35 years or over,Person,2575,
2008,Poland,Total,Males,Total,Person,3555,
2008,Poland,Total,Males,Less than 14 years,Person,60,
2008,Poland,Total,Males,From 14 to 17 years,Person,15,
2008,Poland,Total,Males,From 18 to 34 years,Person,1885,
2008,Poland,Total,Males,35 years or over,Person,1595,
2008,Poland,Total,Females,Total,Person,1875,
2008,Poland,Total,Females,Less than 14 years,Person,50,
2008,Poland,Total,Females,From 14 to 17 years,Person,20,
2008,Poland,Total,Females,From 18 to 34 years,Person,825,
2008,Poland,Total,Females,35 years or over,Person,980,
2008,Poland,Total,Unknown,Total,Person,,
2008,Poland,Total,Unknown,Less than 14 years,Person,,
2008,Poland,Total,Unknown,From 14 to 17 years,Person,,
2008,Poland,Total,Unknown,From 18 to 34 years,Person,,
2008,Poland,Total,Unknown,35 years or over,Person,,
2008,Portugal,Total,Total,Total,Person,,
2008,Portugal,Total,Total,Less than 14 years,Person,,
2008,Portugal,Total,Total,From 14 to 17 years,Person,,
2008,Portugal,Total,Total,From 18 to 34 years,Person,,
2008,Portugal,Total,Total,35 years or over,Person,,
2008,Portugal,Total,Males,Total,Person,,
2008,Portugal,Total,Males,Less than 14 years,Person,,
2008,Portugal,Total,Males,From 14 to 17 years,Person,,
2008,Portugal,Total,Males,From 18 to 34 years,Person,,
2008,Portugal,Total,Males,35 years or over,Person,,
2008,Portugal,Total,Females,Total,Person,,
2008,Portugal,Total,Females,Less than 14 years,Person,,
2008,Portugal,Total,Females,From 14 to 17 years,Person,,
